# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: xor.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             369   N   0000a2e2   00004e45   0000a2e4   x29_t4     0ff00ff0
             370   N   0000a2e4   17d19663   0000a2e6   x28_t3     00000011
             371   N   0000a2e6   00004201   0000a2ea   ---        --------
             372   N   0000a2ea   0f0f1137   0000a2ec   x04_tp     00000000
             373   N   0000a2ec   f0f10113   0000a2f0   x02_sp     0f0f1000
             374   N   0000a2f0   ff0100b7   0000a2f4   x02_sp     0f0f0f0f
             375   N   0000a2f4   f0008093   0000a2f8   x01_ra     ff010000
             376   N   0000a2f8   0020c1b3   0000a2fc   x01_ra     ff00ff00
             377   N   0000a2fc   00000205   0000a300   x03_gp     f00ff00f
             378   N   0000a300   00004289   0000a302   x04_tp     00000001
             379   N   0000a302   fe5214e3   0000a304   x05_t0     00000002
             380   N   0000a304   f00ffeb7   0000a2ec   ---        --------
             383   N   0000a2ec   f0f10113   0000a2f0   x02_sp     0f0f1000
             384   N   0000a2f0   ff0100b7   0000a2f4   x02_sp     0f0f0f0f
             385   N   0000a2f4   f0008093   0000a2f8   x01_ra     ff010000
             386   N   0000a2f8   0020c1b3   0000a2fc   x01_ra     ff00ff00
             387   N   0000a2fc   00000205   0000a300   x03_gp     f00ff00f
             388   N   0000a300   00004289   0000a302   x04_tp     00000002
             389   N   0000a302   fe5214e3   0000a304   x05_t0     00000002
             390   N   0000a304   f00ffeb7   0000a308   ---        --------
             391   N   0000a308   00000ebd   0000a30c   x29_t4     f00ff000
             392   N   0000a30c   00004e49   0000a30e   x29_t4     f00ff00f
             393   N   0000a30e   15d19163   0000a310   x28_t3     00000012
             394   N   0000a310   00004201   0000a314   ---        --------
             395   N   0000a314   f0f0f137   0000a316   x04_tp     00000000
             396   N   0000a316   0000616d   0000a31a   x02_sp     f0f0f000
             397   N   0000a31a   0ff010b7   0000a31c   x02_sp     f0f0f0f0
             398   N   0000a31c   000010c1   0000a320   x01_ra     0ff01000
             399   N   0000a320   00000001   0000a322   x01_ra     0ff00ff0
             400   N   0000a322   0020c1b3   0000a324   ---        --------
             401   N   0000a324   00000205   0000a328   x03_gp     ff00ff00
             402   N   0000a328   00004289   0000a32a   x04_tp     00000001
             403   N   0000a32a   fe5215e3   0000a32c   x05_t0     00000002
             404   N   0000a32c   ff010eb7   0000a316   ---        --------
             408   N   0000a316   0000616d   0000a31a   x02_sp     f0f0f000
             409   N   0000a31a   0ff010b7   0000a31c   x02_sp     f0f0f0f0
             410   N   0000a31c   000010c1   0000a320   x01_ra     0ff01000
             411   N   0000a320   00000001   0000a322   x01_ra     0ff00ff0
             412   N   0000a322   0020c1b3   0000a324   ---        --------
             413   N   0000a324   00000205   0000a328   x03_gp     ff00ff00
             414   N   0000a328   00004289   0000a32a   x04_tp     00000002
             415   N   0000a32a   fe5215e3   0000a32c   x05_t0     00000002
             416   N   0000a32c   ff010eb7   0000a330   ---        --------
             417   N   0000a330   f00e8e93   0000a334   x29_t4     ff010000
             418   N   0000a334   00004e4d   0000a338   x29_t4     ff00ff00
             419   N   0000a338   11d19c63   0000a33a   x28_t3     00000013
             420   N   0000a33a   00004201   0000a33e   ---        --------
             421   N   0000a33e   0f0f1137   0000a340   x04_tp     00000000
